epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,23246.6,0.96384,0.46515,0.92251,0.97653,0.99146,0.9894,0.75764,0.88873,0.41099,0.90097,0.000427565,0.000427565,0.000427565
57,23353.2,0.96157,0.45812,0.91468,0.97754,0.99121,0.98852,0.75685,0.88785,0.40645,0.9064,0.000412246,0.000412246,0.000412246
58,23460.4,0.96623,0.46459,0.92693,0.97453,0.99241,0.98944,0.75749,0.88311,0.40554,0.89963,0.000397019,0.000397019,0.000397019
59,23567.5,0.95797,0.45359,0.91788,0.97574,0.99197,0.98929,0.75182,0.90427,0.40893,0.91103,0.000381899,0.000381899,0.000381899
60,23674.7,0.94354,0.45144,0.91719,0.97748,0.98856,0.98915,0.75725,0.8781,0.40177,0.89988,0.000366899,0.000366899,0.000366899
61,23780.7,0.93627,0.44546,0.91302,0.97759,0.98956,0.98914,0.75975,0.88745,0.40184,0.90518,0.000352037,0.000352037,0.000352037
62,23887.7,0.94993,0.45642,0.91487,0.97952,0.99188,0.98967,0.7649,0.86581,0.39673,0.89474,0.000337325,0.000337325,0.000337325
63,23995.6,0.93364,0.45211,0.90993,0.98002,0.99199,0.99004,0.76149,0.87383,0.39734,0.89689,0.000322778,0.000322778,0.000322778
64,24102.5,0.9495,0.45237,0.9144,0.98049,0.99199,0.98973,0.76258,0.87193,0.39728,0.89494,0.000308412,0.000308412,0.000308412
65,24208.9,0.93469,0.44375,0.90895,0.98059,0.99041,0.98869,0.76199,0.87769,0.396,0.89842,0.000294239,0.000294239,0.000294239
66,24315.4,0.94175,0.4533,0.91318,0.9803,0.99165,0.98965,0.7674,0.87097,0.39152,0.89624,0.000280275,0.000280275,0.000280275
67,24422.7,0.94147,0.43983,0.91489,0.98026,0.99262,0.98969,0.76639,0.86219,0.38832,0.89491,0.000266532,0.000266532,0.000266532
68,24529.8,0.93689,0.44012,0.91315,0.98143,0.99336,0.99006,0.76862,0.84791,0.384,0.89196,0.000253024,0.000253024,0.000253024
69,24636.8,0.93343,0.44105,0.91206,0.98166,0.99308,0.99035,0.76586,0.86122,0.38512,0.89562,0.000239766,0.000239766,0.000239766
70,24743.6,0.92208,0.44008,0.91327,0.9814,0.99273,0.99016,0.77205,0.85395,0.38295,0.89311,0.000226769,0.000226769,0.000226769
71,24853.4,0.91898,0.43396,0.90171,0.98254,0.99136,0.99016,0.76854,0.85057,0.38522,0.89093,0.000214046,0.000214046,0.000214046
72,24962.8,0.93112,0.43855,0.91037,0.98194,0.99136,0.99013,0.77115,0.85248,0.38139,0.89172,0.000201611,0.000201611,0.000201611
73,25071.4,0.92028,0.43304,0.90348,0.9804,0.99178,0.99,0.77046,0.84758,0.38144,0.89036,0.000189475,0.000189475,0.000189475
74,25180.4,0.93306,0.43352,0.90651,0.98032,0.99245,0.99044,0.7741,0.85027,0.37811,0.89274,0.000177651,0.000177651,0.000177651
75,25287.8,0.92488,0.43579,0.91341,0.98255,0.99145,0.99044,0.77085,0.85935,0.37978,0.89339,0.000166149,0.000166149,0.000166149
76,25393.5,0.91392,0.43334,0.90129,0.98276,0.99148,0.99044,0.7752,0.8438,0.37768,0.889,0.000154982,0.000154982,0.000154982
77,25499,0.924,0.43265,0.90901,0.98181,0.99209,0.99042,0.77217,0.85656,0.37748,0.89403,0.000144161,0.000144161,0.000144161
78,25605.6,0.91564,0.43005,0.90888,0.98338,0.99161,0.99057,0.7751,0.83811,0.37429,0.88812,0.000133695,0.000133695,0.000133695
79,25713.4,0.90824,0.42502,0.90349,0.98246,0.99241,0.99042,0.77397,0.8511,0.37478,0.89092,0.000123596,0.000123596,0.000123596
80,25822.5,0.91161,0.42802,0.90659,0.98228,0.99315,0.99045,0.77522,0.83582,0.37163,0.88753,0.000113873,0.000113873,0.000113873
81,25928.1,0.9121,0.42939,0.9027,0.98248,0.99317,0.99062,0.77606,0.83612,0.37041,0.88691,0.000104537,0.000104537,0.000104537
82,26033.6,0.90928,0.42785,0.89774,0.98248,0.99298,0.99082,0.77697,0.83233,0.36848,0.88571,9.55951e-05,9.55951e-05,9.55951e-05
83,26140.2,0.91317,0.42821,0.90617,0.9829,0.99347,0.9908,0.78123,0.82634,0.36611,0.88508,8.70577e-05,8.70577e-05,8.70577e-05
84,26246.3,0.90871,0.42356,0.90726,0.98311,0.99411,0.99066,0.78145,0.82974,0.36734,0.88567,7.89327e-05,7.89327e-05,7.89327e-05
85,26352.6,0.89291,0.4184,0.90034,0.98209,0.99441,0.99086,0.78108,0.82878,0.3674,0.88564,7.12282e-05,7.12282e-05,7.12282e-05
86,26458.9,0.90307,0.42214,0.90589,0.98162,0.99346,0.991,0.78011,0.83,0.3668,0.88592,6.39518e-05,6.39518e-05,6.39518e-05
87,26567.9,0.90888,0.42214,0.90096,0.98322,0.99199,0.99092,0.77706,0.84068,0.36872,0.88715,5.71106e-05,5.71106e-05,5.71106e-05
88,26673.9,0.89974,0.42027,0.90254,0.98165,0.99357,0.991,0.77957,0.83004,0.36677,0.88534,5.07115e-05,5.07115e-05,5.07115e-05
89,26780.3,0.90541,0.42239,0.90728,0.98118,0.99451,0.99104,0.78054,0.8264,0.36518,0.88483,4.47606e-05,4.47606e-05,4.47606e-05
90,26886.2,0.89676,0.41751,0.8997,0.98078,0.99431,0.99102,0.78006,0.82732,0.36566,0.88553,3.9264e-05,3.9264e-05,3.9264e-05
91,26990.7,0.89786,0.42557,0.90311,0.98025,0.99415,0.99072,0.77632,0.83017,0.37304,0.88645,3.4227e-05,3.4227e-05,3.4227e-05
92,27094.4,0.88637,0.41484,0.89607,0.98044,0.99326,0.99039,0.77345,0.8308,0.37906,0.88656,2.96546e-05,2.96546e-05,2.96546e-05
93,27199.5,0.88311,0.41142,0.89794,0.97854,0.9948,0.99033,0.77372,0.83193,0.38161,0.88721,2.55513e-05,2.55513e-05,2.55513e-05
94,27303.3,0.87676,0.41157,0.8961,0.97974,0.99416,0.99039,0.77128,0.8386,0.38313,0.8891,2.19212e-05,2.19212e-05,2.19212e-05
