epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,6616.33,1.03106,0.59665,1.05917,0.96672,0.98294,0.98645,0.72001,0.96755,0.53679,1.07464,0.000366899,0.000366899,0.000366899
61,6724.07,1.01933,0.59131,1.04848,0.96703,0.98218,0.98638,0.71936,0.96859,0.53229,1.07478,0.000352037,0.000352037,0.000352037
62,6831.77,1.04007,0.59542,1.05597,0.96672,0.98289,0.98665,0.7228,0.96064,0.52947,1.07156,0.000337325,0.000337325,0.000337325
63,6940.45,1.02734,0.59939,1.05306,0.96662,0.98308,0.98696,0.72287,0.9661,0.53416,1.0743,0.000322778,0.000322778,0.000322778
64,7050.7,1.03771,0.59416,1.05798,0.96594,0.98368,0.98699,0.72168,0.9687,0.53687,1.07626,0.000308412,0.000308412,0.000308412
65,7159.77,1.02638,0.58538,1.04496,0.96593,0.98419,0.98692,0.72445,0.95867,0.53038,1.0697,0.000294239,0.000294239,0.000294239
66,7267.32,1.03822,0.60372,1.05491,0.96742,0.98355,0.98709,0.72444,0.96029,0.52866,1.07064,0.000280275,0.000280275,0.000280275
67,7374.68,1.03206,0.58336,1.05802,0.96872,0.98277,0.9871,0.72529,0.95784,0.52829,1.06938,0.000266532,0.000266532,0.000266532
68,7482.85,1.02963,0.58375,1.0624,0.96661,0.98503,0.98696,0.72445,0.95851,0.52795,1.07006,0.000253024,0.000253024,0.000253024
69,7590.89,1.03208,0.59186,1.06416,0.96678,0.98377,0.98696,0.72435,0.95938,0.52874,1.07048,0.000239766,0.000239766,0.000239766
70,7698.24,1.03029,0.5955,1.06791,0.96652,0.9844,0.98702,0.72297,0.97032,0.53163,1.0738,0.000226769,0.000226769,0.000226769
71,7807.35,1.02026,0.58058,1.03324,0.96827,0.98431,0.98709,0.72564,0.95716,0.52632,1.06959,0.000214046,0.000214046,0.000214046
72,7915.79,1.03338,0.58727,1.05663,0.96835,0.9844,0.98716,0.72485,0.95761,0.52316,1.06904,0.000201611,0.000201611,0.000201611
73,8024.26,1.02336,0.57488,1.03987,0.96884,0.98387,0.9872,0.72409,0.95884,0.52068,1.06832,0.000189475,0.000189475,0.000189475
74,8132.11,1.03257,0.57808,1.03881,0.96845,0.98371,0.98707,0.72577,0.95337,0.5183,1.06695,0.000177651,0.000177651,0.000177651
75,8239.82,1.02948,0.58888,1.06442,0.96747,0.98446,0.98716,0.72438,0.96157,0.52224,1.06852,0.000166149,0.000166149,0.000166149
76,8348.12,1.02095,0.57725,1.03752,0.96814,0.98408,0.98705,0.7274,0.95189,0.5214,1.0655,0.000154982,0.000154982,0.000154982
77,8455.6,1.02776,0.58012,1.05317,0.96873,0.98461,0.98706,0.72476,0.95411,0.52234,1.06674,0.000144161,0.000144161,0.000144161
78,8562.65,1.02284,0.59019,1.06194,0.96887,0.98417,0.98717,0.72525,0.95309,0.52299,1.06613,0.000133695,0.000133695,0.000133695
79,8671.63,1.02121,0.57415,1.04183,0.96899,0.98334,0.98728,0.72444,0.95937,0.52245,1.06862,0.000123596,0.000123596,0.000123596
80,8778.64,1.01833,0.57887,1.05512,0.96846,0.98396,0.98722,0.7273,0.95039,0.51875,1.06438,0.000113873,0.000113873,0.000113873
81,8885.9,1.0306,0.58456,1.0523,0.96844,0.98323,0.98717,0.72533,0.95289,0.51978,1.06545,0.000104537,0.000104537,0.000104537
82,8992.96,1.02162,0.58001,1.02972,0.96835,0.98398,0.98716,0.72532,0.95423,0.51904,1.06631,9.55951e-05,9.55951e-05,9.55951e-05
83,9100.62,1.03372,0.58835,1.05363,0.96838,0.98461,0.98714,0.72775,0.94924,0.51725,1.06442,8.70577e-05,8.70577e-05,8.70577e-05
84,9207.19,1.01985,0.57273,1.05117,0.96882,0.98345,0.98721,0.72736,0.94911,0.51661,1.06362,7.89327e-05,7.89327e-05,7.89327e-05
85,9314.35,1.0125,0.5705,1.04309,0.96846,0.98389,0.9872,0.72679,0.94993,0.51643,1.06447,7.12282e-05,7.12282e-05,7.12282e-05
86,9420.69,1.0234,0.58144,1.05586,0.96899,0.98429,0.98715,0.72652,0.95241,0.51693,1.065,6.39518e-05,6.39518e-05,6.39518e-05
87,9528.92,1.02779,0.57015,1.03889,0.96938,0.98456,0.98711,0.72752,0.94919,0.51671,1.06393,5.71106e-05,5.71106e-05,5.71106e-05
88,9636.43,1.01178,0.57141,1.04652,0.96907,0.98424,0.98709,0.72794,0.94819,0.51662,1.06436,5.07115e-05,5.07115e-05,5.07115e-05
89,9744.55,1.02663,0.57433,1.05775,0.96858,0.98474,0.98709,0.72829,0.94815,0.51613,1.06369,4.47606e-05,4.47606e-05,4.47606e-05
90,9852.33,1.01516,0.57388,1.0521,0.96798,0.98469,0.98704,0.72771,0.94809,0.51649,1.06353,3.9264e-05,3.9264e-05,3.9264e-05
91,9958.47,1.03331,0.68531,1.09883,0.96486,0.98577,0.98624,0.72332,0.95672,0.54153,1.06825,3.4227e-05,3.4227e-05,3.4227e-05
92,10063.6,1.01492,0.65922,1.09066,0.96015,0.98682,0.98541,0.721,0.96089,0.567,1.07279,2.96546e-05,2.96546e-05,2.96546e-05
93,10169.6,1.0174,0.64758,1.08939,0.95904,0.98736,0.98518,0.71857,0.96392,0.56956,1.07491,2.55513e-05,2.55513e-05,2.55513e-05
94,10276,1.00877,0.63869,1.09,0.96006,0.9863,0.98523,0.71925,0.96374,0.56171,1.07462,2.19212e-05,2.19212e-05,2.19212e-05
95,10383.4,1.00765,0.62587,1.09326,0.961,0.98608,0.98522,0.72018,0.96398,0.55758,1.07446,1.87678e-05,1.87678e-05,1.87678e-05
96,10490.9,1.01477,0.62362,1.0986,0.96193,0.98548,0.98542,0.71969,0.96517,0.55503,1.07469,1.60943e-05,1.60943e-05,1.60943e-05
97,10598.5,1.01432,0.62142,1.10162,0.96201,0.98499,0.98541,0.71884,0.96741,0.55301,1.07539,1.39032e-05,1.39032e-05,1.39032e-05
98,10706.1,1.02269,0.62188,1.08346,0.96027,0.9863,0.98542,0.71798,0.97026,0.55303,1.07711,1.21968e-05,1.21968e-05,1.21968e-05
99,10813.1,1.02671,0.62229,1.0995,0.96073,0.98598,0.98558,0.71827,0.97026,0.55194,1.07681,1.09768e-05,1.09768e-05,1.09768e-05
